hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,customer_type,adr,required_car_parking_spaces,total_of_special_requests,adr_bin,is_international
Resort Hotel,0,203,2016,December,2,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,4,No Deposit,250,Transient,66.8,0,0,51-100,True
City Hotel,1,82,2015,July,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,76.5,0,0,51-100,True
City Hotel,0,25,2016,December,0,3,0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,2,No Deposit,220,Transient-Party,60.0,0,1,51-100,True
City Hotel,0,1,2016,March,0,1,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient-Party,95.0,0,0,51-100,True
City Hotel,0,70,2017,April,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,108.0,0,0,101-150,True
City Hotel,0,170,2017,April,0,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,130.5,0,0,101-150,True
City Hotel,1,21,2016,March,0,1,0,0,BB,SVN,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient-Party,85.0,0,0,51-100,True
City Hotel,0,102,2015,October,0,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,6,Transient-Party,109.0,0,0,101-150,True
Resort Hotel,0,55,2016,November,2,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,1,No Deposit,314,Transient,67.44,0,0,51-100,True
Resort Hotel,0,222,2015,September,1,2,0,0,HB,ESP,Groups,TA/TO,0,0,0,A,0,No Deposit,68,Transient,80.0,0,0,51-100,True
Resort Hotel,0,120,2016,December,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,Transient-Party,54.8,1,3,51-100,True
City Hotel,1,88,2017,February,0,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,79.2,0,0,51-100,True
Resort Hotel,0,79,2015,December,2,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,156,Transient,57.29,0,2,51-100,True
City Hotel,0,41,2016,August,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,28,Transient,76.5,0,0,51-100,True
City Hotel,1,239,2015,October,0,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1,Transient,60.0,0,0,51-100,True
Resort Hotel,0,23,2017,April,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,0,No Deposit,0,Transient-Party,99.0,1,0,51-100,True
